CV Name,Method,Success,Processing Time (ms),Time Per Publication (ms),Total Publications,Verified Publications,Verified With Author Match,Precision,Recall,F1 Score,Verification Accuracy,Publication Count Accuracy,Link Provision Rate,Citation Count Availability,Metadata Richness,Input Tokens,Output Tokens,Total Tokens,API Calls,Ground Truth CV Size,Ground Truth Publications,Error,,,,,Method,Processing Time (ms)
1-page-PG,Traditional,TRUE,1738.78,,,,,1,1,1,1,1,0,0,0,,,,,2669,,,,,,,Traditional,1738.78
1-page-PG,Gemini AI,TRUE,1698.79,1698.79,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,2669,,,,,,,Gemini AI,1698.79
1-page-PG,Claude AI,TRUE,4599.83,4599.83,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,2669,,,,,,,Claude AI,4599.83
1-page-PG,ChatGPT AI,TRUE,3469.12,3469.12,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,2669,,,,,,,ChatGPT AI,3469.12
1-page-PG,Grok AI,TRUE,16581.12,16581.12,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,2669,,,,,,,Grok AI,16581.12
1-page-UG,Traditional,TRUE,1572.96,,,,,1,1,1,1,1,0,0,0,,,,,4023,,,,,,,Traditional,1572.96
1-page-UG,Gemini AI,TRUE,1891.58,1891.58,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,4023,,,,,,,Gemini AI,1891.58
1-page-UG,Claude AI,TRUE,5372.62,5372.62,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,4023,,,,,,,Claude AI,5372.62
1-page-UG,ChatGPT AI,TRUE,3347.16,3347.16,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,4023,,,,,,,ChatGPT AI,3347.16
1-page-UG,Grok AI,TRUE,14968.92,14968.92,1,,,0,1,0,0,0,1,0,0.4,350,150,500,1,4023,,,,,,,Grok AI,14968.92
2-page-PG,Traditional,TRUE,1280.43,,,,,1,1,1,1,1,0,0,0,,,,,4812,,,,,,,Traditional,1280.43
2-page-PG,Gemini AI,TRUE,1479.46,,,,,1,1,1,1,1,0,0,0,,,,,4812,,,,,,,Gemini AI,1479.46
2-page-PG,Claude AI,TRUE,4370.37,,,,,1,1,1,1,1,0,0,0,,,,,4812,,,,,,,Claude AI,4370.37
2-page-PG,ChatGPT AI,TRUE,4841.19,1613.73,3,,,0,1,0,0,0,1,0,0.4,1050,450,1500,1,4812,,,,,,,ChatGPT AI,4841.19
2-page-PG,Grok AI,TRUE,13217.31,6608.65,2,,,0,1,0,0,0,1,0,0.4,700,300,1000,1,4812,,,,,,,Grok AI,13217.31
2-page-UG,Traditional,TRUE,1678.06,,,,,1,1,1,1,1,0,0,0,,,,,3874,,,,,,,Traditional,1678.06
2-page-UG,Gemini AI,TRUE,1677.28,,,,,1,1,1,1,1,0,0,0,,,,,3874,,,,,,,Gemini AI,1677.28
2-page-UG,Claude AI,TRUE,3256.09,,,,,1,1,1,1,1,0,0,0,,,,,3874,,,,,,,Claude AI,3256.09
2-page-UG,ChatGPT AI,TRUE,2201.53,,,,,1,1,1,1,1,0,0,0,,,,,3874,,,,,,,ChatGPT AI,2201.53
2-page-UG,Grok AI,TRUE,11896.54,,,,,1,1,1,1,1,0,0,0,,,,,3874,,,,,,,Grok AI,11896.54
2232,Traditional,TRUE,3370.78,3370.78,1,1,1,0,1,0,0,0,1,0,0.4,180,120,300,2,,,,,,,,Traditional,3370.78
2232,Gemini AI,TRUE,4190.41,1047.6,4,1,1,0,1,0,0,0,1,0,0.4,1400,600,2000,1,,,,,,,,Gemini AI,4190.41
2232,Claude AI,TRUE,10407.92,2601.98,4,,,0,1,0,0,0,1,0,0.4,1400,600,2000,1,,,,,,,,Claude AI,10407.92
2232,ChatGPT AI,TRUE,4167.39,4167.39,1,1,,0,1,0,0,0,1,0,0.4,350,150,500,1,,,,,,,,ChatGPT AI,4167.39
2232,Grok AI,TRUE,19773.96,4943.49,4,,,0,1,0,0,0,1,0,0.4,1400,600,2000,1,,,,,,,,Grok AI,19773.96
academics-rmit-edu-au-ahmad-abareshi-publications...,Traditional,TRUE,34803.1,1450.13,24,21,21,0.875,0.913,0.894,0.917,1,1,0,0.4,4320,2880,7200,48,8174,24,,,,,,Traditional,34803.1
academics-rmit-edu-au-ahmad-abareshi-publications...,Gemini AI,TRUE,19198.58,799.94,24,24,24,0.958,1,0.979,0.958,1,1,0,0.4,8400,3600,12000,5,8174,24,,,,,,Gemini AI,19198.58
academics-rmit-edu-au-ahmad-abareshi-publications...,Claude AI,TRUE,62889.37,2620.39,24,24,24,0.958,1,0.979,0.958,1,1,0,0.4,8400,3600,12000,5,8174,24,,,,,,Claude AI,62889.37
academics-rmit-edu-au-ahmad-abareshi-publications...,ChatGPT AI,TRUE,121176.62,5049.03,24,22,22,0.917,0.957,0.936,0.958,1,1,0,0.4,8400,3600,12000,5,8174,24,,,,,,ChatGPT AI,121176.62
academics-rmit-edu-au-ahmad-abareshi-publications...,Grok AI,TRUE,45449.13,1893.71,24,24,24,0.958,1,0.979,0.958,1,1,0,0.4,8400,3600,12000,5,8174,24,,,,,,Grok AI,45449.13
academics-rmit-edu-au-aleksandra-acker-publications...,Traditional,TRUE,33637.4,1345.5,25,18,17,0.72,0.857,0.783,0.88,1,1,0,0.4,4500,3000,7500,50,5630,25,,,,,,Traditional,33637.4
academics-rmit-edu-au-aleksandra-acker-publications...,Gemini AI,TRUE,15955.13,638.21,25,22,22,0.84,1,0.913,0.96,1,1,0,0.4,8750,3750,12500,5,5630,25,,,,,,Gemini AI,15955.13
academics-rmit-edu-au-aleksandra-acker-publications...,Claude AI,TRUE,51973.5,2078.94,25,21,21,0.84,1,0.913,1,1,1,0,0.4,8750,3750,12500,5,5630,25,,,,,,Claude AI,51973.5
academics-rmit-edu-au-aleksandra-acker-publications...,ChatGPT AI,TRUE,36571.86,1462.87,25,20,20,0.8,0.952,0.87,0.96,1,1,0,0.4,8750,3750,12500,5,5630,25,,,,,,ChatGPT AI,36571.86
academics-rmit-edu-au-aleksandra-acker-publications...,Grok AI,TRUE,33106.47,1324.26,25,22,22,0.84,1,0.913,0.96,1,1,0,0.4,8750,3750,12500,5,5630,25,,,,,,Grok AI,33106.47
academics-rmit-edu-au-amanda-abraham-publications... (1),Traditional,TRUE,36715.42,1468.62,25,25,25,0.96,1,0.98,0.96,1,1,0,0.4,4500,3000,7500,50,7420,25,,,,,,Traditional,36715.42
academics-rmit-edu-au-amanda-abraham-publications... (1),Gemini AI,TRUE,17526.18,701.05,25,25,24,0.96,1,0.98,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Gemini AI,17526.18
academics-rmit-edu-au-amanda-abraham-publications... (1),Claude AI,TRUE,142653.32,5706.13,25,23,22,0.92,0.958,0.939,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Claude AI,142653.32
academics-rmit-edu-au-amanda-abraham-publications... (1),ChatGPT AI,TRUE,189009.26,7560.37,25,21,17,0.84,0.875,0.857,0.88,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,ChatGPT AI,189009.26
academics-rmit-edu-au-amanda-abraham-publications... (1),Grok AI,TRUE,53913.61,2156.54,25,23,18,0.92,0.958,0.939,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Grok AI,53913.61
academics-rmit-edu-au-amanda-abraham-publications... (2),Traditional,TRUE,32804.86,1312.19,25,25,24,0.96,1,0.98,0.96,1,1,0,0.4,4500,3000,7500,50,7420,25,,,,,,Traditional,32804.86
academics-rmit-edu-au-amanda-abraham-publications... (2),Gemini AI,TRUE,18529.85,741.19,25,25,24,0.96,1,0.98,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Gemini AI,18529.85
academics-rmit-edu-au-amanda-abraham-publications... (2),Claude AI,TRUE,62717.76,2508.71,25,23,22,0.92,0.958,0.939,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Claude AI,62717.76
academics-rmit-edu-au-amanda-abraham-publications... (2),ChatGPT AI,TRUE,72291.68,2891.67,25,21,21,0.84,0.875,0.857,0.88,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,ChatGPT AI,72291.68
academics-rmit-edu-au-amanda-abraham-publications... (2),Grok AI,TRUE,46295.09,1851.8,25,25,19,0.96,1,0.98,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Grok AI,46295.09
academics-rmit-edu-au-amanda-abraham-publications...,Traditional,TRUE,32800.54,1312.02,25,25,25,0.96,1,0.98,0.96,1,1,0,0.4,4500,3000,7500,50,7420,25,,,,,,Traditional,32800.54
academics-rmit-edu-au-amanda-abraham-publications...,Gemini AI,TRUE,19192.32,767.69,25,25,24,0.96,1,0.98,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Gemini AI,19192.32
academics-rmit-edu-au-amanda-abraham-publications...,Claude AI,TRUE,71915.18,2876.61,25,23,22,0.92,0.958,0.939,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Claude AI,71915.18
academics-rmit-edu-au-amanda-abraham-publications...,ChatGPT AI,TRUE,127024.15,5080.97,25,22,17,0.88,0.917,0.898,0.92,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,ChatGPT AI,127024.15
academics-rmit-edu-au-amanda-abraham-publications...,Grok AI,TRUE,67891.29,2715.65,25,25,19,0.96,1,0.98,0.96,1,1,0,0.4,8750,3750,12500,5,7420,25,,,,,,Grok AI,67891.29
academics-rmit-edu-au-babak-abbasi-publications,Traditional,TRUE,9998.54,,,,,1,1,1,1,1,0,0,0,,,,,8379,,,,,,,Traditional,9998.54
